,Unnamed: 0,official_case_id,type_of_crime,location,datetime,year_date,time,victim_sex,offender_sex,number_of_victims,number_of_offenders,homicide,hate_crime-disability,hate_crime-gender,hate_crime-gender_identity,hate_crime-religious,hate_crime-sexual_orientation,hate_crime-racial/ethnicity,verbal_abuse/verbal_assault,property_damage,drug_offenses,general_assault,sexual_assault,sexual_harassment,property_crimes,unclassified,lon,lat
0,0,1167412,Property Damage,"Blankenburger Pflasterweg, Heinersdorfer Straße",2022-01-14 02:15:00,2022-01-14,02.15,"Female, Male",Male,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,1,1167410,Homicide,Kühnemannstraße,2022-02-02 06:00:00,2022-02-02,06.00,Male,Male,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.982038361503804,-6.4107954
2,2,1167332,"General Assault, Verbal Abuse, Property Damage, Drug Offenses",Rathausstraße,2022-01-14 01:15:00,2022-01-14,01.15,Male,Male,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,36.90436132877197,-3.3253383000000003
3,3,1167270,"Property Crime, General Assault","Gropiusstadt, Neukölln",,2022-06-20,Unknown,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-91.153628,39.548248
4,4,1167075,Property Crime,"Hauptstraße, Tempelhof-Schöneberg",2022-01-13 02:40:00,2022-01-13,02.40,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5293451,67.0655921
5,5,1318967,"General Assault, Property Crime, Verbal Abuse","Erwin-Barth-Platz, Charlottenburg-Wilmersdorf",2023-04-29 13:40:00,2023-04-29,13.40,Male,Male,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.07227630402895,-6.08971685
6,6,1318965,"Property Damage, General Assault",Seydelstraße bis zur Alte-Jakob-Straße,,2023-04-29,Mitternacht,Unknow,Male,Unknow,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4963449774456519,42.46671695
7,7,1317835,"Property Crime, Hehlerei","Wilhelmstadt, Sandstraße",2023-04-27 22:00:00,2023-04-27,22.00,Unknow,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3654032,31.6048574
8,8,1317465,"Property Damage, Hate Crime - Gender Identity",Friedhof in Lichtenberg,2023-04-26 17:45:00,2023-04-26,17.45,Transgender,Unknow,1,Unknow,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0158654,40.360960649999996
9,9,1317344,Property Damage,"Wedding, Togostraße",2023-04-26 23:00:00,2023-04-26,23.00,Female,Unknow,1,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,135.4979778,34.7053631
10,10,1317325,Attempted Suicide,Tempelhof-Schöneberg,2023-04-26 18:10:00,2023-04-26,18.10,Male,Unknow,1,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1905396615047525,48.3201921
