,Time,Date,Year,Month,Day,unique_case_id,official_case_id,type_of_crime,location,year,date,time,victim_sex,offender_sex,number_of_victims,number_of_offenders,Homicide,Hate Crime - Disability,Hate Crime - Gender,Hate Crime - Gender Identity,Hate Crime - Religious,Hate Crime - Sexual orientation,Hate Crime - Racial/Ethnicity,Hate Crime - Ethnicity,Verbal Abuse/Verbal Assault,Property Damage,Drug Offenses,General Assault,Sexual Assault,Sexual Harassment,Property Crimes,Domestic Violence,Missing Person,Traffic Incident,Unclassified,Output,Good_output,lon,lat
0,20:44:00,2023-05-30 20:10:14.182771,2023,5,30,000001_1318967,1318967.0,"General Assault, Property Crime, Verbal Abuse","Erwin-Barth-Platz, Charlottenburg-Wilmersdorf",2023.0,29.04,13.40 Uhr,Male,Male,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 121562969, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 52352748, 'boundingbox': ['52.5096251', '52.5103484', '13.2895464', '13.2910229'], 'lat': '52.50994745', 'lon': '13.29000220854009', 'display_name': 'Erwin-Barth-Platz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, Deutschland', 'class': 'leisure', 'type': 'park', 'importance': 0.66001}]","{'place_id': 121562969, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 52352748, 'boundingbox': ['52.5096251', '52.5103484', '13.2895464', '13.2910229'], 'lat': '52.50994745', 'lon': '13.29000220854009', 'display_name': 'Erwin-Barth-Platz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, Deutschland', 'class': 'leisure', 'type': 'park', 'importance': 0.66001}",13.29000220854009,52.50994745
1,11:38:00,2023-03-29 20:10:14.182771,2023,3,29,000003_1317835,1317835.0,"Property Crime, Hehlerei","Wilhelmstadt, Sandstraße",2023.0,27.04,22 Uhr,Unknow,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 103312933, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4999754, 'boundingbox': ['52.518575', '52.5201952', '13.1699342', '13.1712351'], 'lat': '52.5192835', 'lon': '13.1706652', 'display_name': 'Sandstraße, Wilhelmstadt, Spandau, Berlin, 13593, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.32000999999999996}, {'place_id': 117595388, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 37291757, 'boundingbox': ['52.5147885', '52.5181529', '13.1658877', '13.1694849'], 'lat': '52.5165509', 'lon': '13.1678145', 'display_name': 'Sandstraße, Wilhelmstadt, Spandau, Berlin, 13593, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}, {'place_id': 200740145, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 396052879, 'boundingbox': ['52.5187749', '52.5188812', '13.170309', '13.1704182'], 'lat': '52.5187749', 'lon': '13.170309', 'display_name': 'Sandstraße, Wilhelmstadt, Spandau, Berlin, 13593, Deutschland', 'class': 'highway', 'type': 'platform', 'importance': 0.22000999999999998}, {'place_id': 44418642, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3773251198, 'boundingbox': ['52.5188312', '52.5189312', '13.1703682', '13.1704682'], 'lat': '52.5188812', 'lon': '13.1704182', 'display_name': 'Sandstraße, Wilhelmstadt, Spandau, Berlin, 13593, Deutschland', 'class': 'highway', 'type': 'bus_stop', 'importance': 0.22000999999999998, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_bus_stop2.p.20.png'}, {'place_id': 199757302, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 396052877, 'boundingbox': ['52.5185615', '52.5186125', '13.1691237', '13.169352'], 'lat': '52.5185615', 'lon': '13.169352', 'display_name': 'Sandstraße, Heerstraße, Siedlung Obstallee, Staaken, Spandau, Berlin, 13593, Deutschland', 'class': 'highway', 'type': 'platform', 'importance': 0.11000999999999997}, {'place_id': 44560287, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3773251200, 'boundingbox': ['52.5185115', '52.5186115', '13.169302', '13.169402'], 'lat': '52.5185615', 'lon': '13.169352', 'display_name': 'Sandstraße, Heerstraße, Siedlung Obstallee, Staaken, Spandau, Berlin, 13593, Deutschland', 'class': 'highway', 'type': 'bus_stop', 'importance': 0.11000999999999997, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_bus_stop2.p.20.png'}]","{'place_id': 103312933, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4999754, 'boundingbox': ['52.518575', '52.5201952', '13.1699342', '13.1712351'], 'lat': '52.5192835', 'lon': '13.1706652', 'display_name': 'Sandstraße, Wilhelmstadt, Spandau, Berlin, 13593, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.32000999999999996}",13.1706652,52.5192835
2,00:47:00,2023-05-02 20:10:14.182771,2023,5,2,000004_1317465,1317465.0,"Property Damage, Hate Crime - Gender Identity",Friedhof in Lichtenberg,2023.0,26.04,17.45 Uhr,Transgender,Unknow,1,Unknow,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 121847673, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 51440106, 'boundingbox': ['52.5145879', '52.523641', '13.5088154', '13.5192021'], 'lat': '52.51865085', 'lon': '13.513130233356152', 'display_name': 'Zentralfriedhof Friedrichsfelde, Lichtenberg, Berlin, 10315, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.7198726542610049}, {'place_id': 103359876, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 6197783, 'boundingbox': ['52.538498', '52.5456046', '13.4550624', '13.4698337'], 'lat': '52.54205865', 'lon': '13.464077112423116', 'display_name': 'Jüdischer Friedhof Berlin-Weißensee, Weißensee, Pankow, Berlin, 13088, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.568023194467641}, {'place_id': 116804155, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 32842046, 'boundingbox': ['52.4927178', '52.4961412', '13.5320358', '13.533896'], 'lat': '52.4951402', 'lon': '13.533106531943965', 'display_name': 'Neuer Friedhof Friedrichsfelde, Karlshorst, Lichtenberg, Berlin, 10318, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.51001}, {'place_id': 117765411, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 36932430, 'boundingbox': ['52.5451142', '52.54659', '13.4778734', '13.4809404'], 'lat': '52.5458445', 'lon': '13.480127935344477', 'display_name': 'Friedhof der evangelischen Kirchengemeinde Berlin-Hohenschönhausen, Alt-Hohenschönhausen, Lichtenberg, Berlin, 13053, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.51001}, {'place_id': 118694581, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 43617618, 'boundingbox': ['52.5416377', '52.5454528', '13.477659', '13.4896807'], 'lat': '52.54352055', 'lon': '13.483506542514977', 'display_name': 'Friedhof der St. Hedwig und St. Pius Gemeinde, Alt-Hohenschönhausen, Lichtenberg, Berlin, 13055, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.51001}, {'place_id': 119510073, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 43962591, 'boundingbox': ['52.5451167', '52.5462822', '13.5078583', '13.5092818'], 'lat': '52.545687349999994', 'lon': '13.508415256779408', 'display_name': 'Dorffriedhof Alt-Hohenschönhausen, Alt-Hohenschönhausen, Lichtenberg, Berlin, 13055, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.51001}, {'place_id': 119581493, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 42030261, 'boundingbox': ['52.5114753', '52.5136419', '13.522691', '13.5252012'], 'lat': '52.512598600000004', 'lon': '13.524318980854378', 'display_name': 'Alter Friedhof Friedrichsfelde, Reihenhäuser Kalinka, Friedrichsfelde, Lichtenberg, Berlin, 10315, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.51001}, {'place_id': 125032731, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 79173622, 'boundingbox': ['52.570215', '52.571043', '13.5373265', '13.5382384'], 'lat': '52.57075685', 'lon': '13.537870964981447', 'display_name': 'Friedhof Falkenberg, Falkenberg, Lichtenberg, Berlin, 13057, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.51001}, {'place_id': 126100715, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 79522783, 'boundingbox': ['52.4927124', '52.4964229', '13.5334667', '13.5354656'], 'lat': '52.494669900000005', 'lon': '13.534473157617517', 'display_name': 'Karlshorster Friedhof, Karlshorst, Lichtenberg, Berlin, 10318, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.51001}, {'place_id': 131619402, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 104764513, 'boundingbox': ['52.4959148', '52.4967903', '13.5329016', '13.5355112'], 'lat': '52.4963444', 'lon': '13.534349578875604', 'display_name': 'Tierfriedhof im Wiesengrund, Karlshorst, Lichtenberg, Berlin, 10318, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.51001}]","{'place_id': 121847673, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 51440106, 'boundingbox': ['52.5145879', '52.523641', '13.5088154', '13.5192021'], 'lat': '52.51865085', 'lon': '13.513130233356152', 'display_name': 'Zentralfriedhof Friedrichsfelde, Lichtenberg, Berlin, 10315, Deutschland', 'class': 'landuse', 'type': 'cemetery', 'importance': 0.7198726542610049}",13.513130233356152,52.51865085
3,01:12:00,2022-11-27 20:10:14.182771,2022,11,27,000005_1317344,1317344.0,Property Damage,"Wedding, Togostraße",2023.0,26.04,23 Uhr,Female,Unknow,1,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 232223922, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 598160935, 'boundingbox': ['52.5548933', '52.554983', '13.3375332', '13.3376797'], 'lat': '52.5548933', 'lon': '13.3375332', 'display_name': 'Togostraße, Afrikanisches Viertel, Wedding, Mitte, Berlin, 13351, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}, {'place_id': 305737039, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1107428588, 'boundingbox': ['52.5490081', '52.550003', '13.3460834', '13.3478475'], 'lat': '52.5494324', 'lon': '13.3470951', 'display_name': 'Togostraße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13351, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}, {'place_id': 177086718, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 281071132, 'boundingbox': ['52.5488043', '52.5490081', '13.3478475', '13.3481771'], 'lat': '52.548954', 'lon': '13.347935', 'display_name': 'Togostraße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13351, Deutschland', 'class': 'highway', 'type': 'pedestrian', 'importance': 0.32000999999999996}]","{'place_id': 232223922, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 598160935, 'boundingbox': ['52.5548933', '52.554983', '13.3375332', '13.3376797'], 'lat': '52.5548933', 'lon': '13.3375332', 'display_name': 'Togostraße, Afrikanisches Viertel, Wedding, Mitte, Berlin, 13351, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}",13.3375332,52.5548933
4,05:35:00,2022-07-06 20:10:14.182771,2022,7,6,000006_1317325,1317325.0,Attempted Suicide,Tempelhof-Schöneberg,2023.0,26.04,18.10 Uhr,Male,Unknow,1,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307886045, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 158437, 'boundingbox': ['52.3761384', '52.5049347', '13.3199923', '13.42746'], 'lat': '52.4404422', 'lon': '13.388288723500661', 'display_name': 'Tempelhof-Schöneberg, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6588789483495445, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}]","{'place_id': 307886045, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 158437, 'boundingbox': ['52.3761384', '52.5049347', '13.3199923', '13.42746'], 'lat': '52.4404422', 'lon': '13.388288723500661', 'display_name': 'Tempelhof-Schöneberg, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6588789483495445, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.388288723500661,52.4404422
5,06:04:00,2022-10-09 20:10:14.182771,2022,10,9,000007_1317063,1317063.0,"Property Damage, Homicide","Treptow-Köpenick, Am Bahndamm",2023.0,25.04,10.30 Uhr,Male,Unknow,1,Unknow,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 131308192, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 103314099, 'boundingbox': ['52.4600278', '52.4613066', '13.5738639', '13.5757014'], 'lat': '52.46070335', 'lon': '13.574702734392957', 'display_name': 'Am Bahndamm, Köpenick, Treptow-Köpenick, Berlin, Deutschland', 'class': 'landuse', 'type': 'allotments', 'importance': 0.6100099999999999}, {'place_id': 116354425, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 31344389, 'boundingbox': ['52.4590344', '52.4590412', '13.5796581', '13.5797382'], 'lat': '52.459038', 'lon': '13.5796953', 'display_name': 'Am Bahndamm, Dammvorstadt, Köpenick, Treptow-Köpenick, Berlin, 12555, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.5100099999999999}, {'place_id': 121141187, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 47974159, 'boundingbox': ['52.4591113', '52.4592349', '13.5783605', '13.5791111'], 'lat': '52.4591887', 'lon': '13.5784875', 'display_name': 'Am Bahndamm, Dammfeld, Köpenick, Treptow-Köpenick, Berlin, 12555, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.5100099999999999}, {'place_id': 105657373, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 9621502, 'boundingbox': ['52.4599137', '52.4606087', '13.5731531', '13.5751585'], 'lat': '52.4601575', 'lon': '13.5743987', 'display_name': 'Am Bahndamm, Dammvorstadt, Köpenick, Treptow-Köpenick, Berlin, 12555, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.5100099999999999}, {'place_id': 114853936, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 31049192, 'boundingbox': ['52.4594825', '52.4595581', '13.5763915', '13.5766958'], 'lat': '52.4594825', 'lon': '13.5766958', 'display_name': 'Am Bahndamm, Dammfeld, Köpenick, Treptow-Köpenick, Berlin, 12555, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.5100099999999999}, {'place_id': 182548198, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 307927836, 'boundingbox': ['52.4779704', '52.479469', '13.471311', '13.4735511'], 'lat': '52.4788685', 'lon': '13.4722535', 'display_name': 'Am Bahndamm, Kleingartenanlage Am Heidekampgraben, Plänterwald, Treptow-Köpenick, Berlin, 12435, Deutschland', 'class': 'highway', 'type': 'footway', 'importance': 0.47500999999999993}]","{'place_id': 131308192, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 103314099, 'boundingbox': ['52.4600278', '52.4613066', '13.5738639', '13.5757014'], 'lat': '52.46070335', 'lon': '13.574702734392957', 'display_name': 'Am Bahndamm, Köpenick, Treptow-Köpenick, Berlin, Deutschland', 'class': 'landuse', 'type': 'allotments', 'importance': 0.6100099999999999}",13.574702734392957,52.46070335
6,20:57:00,2023-05-18 20:10:14.182771,2023,5,18,000008_1317038,1317038.0,"Property Crime, General Assault","Keithstraße, Tempelhof-Schöneberg",2023.0,25.04,17 Uhr,"Male, Female",Male,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 102995647, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4531816, 'boundingbox': ['52.501342', '52.5038357', '13.3457625', '13.3459548'], 'lat': '52.5027452', 'lon': '13.3458946', 'display_name': 'Keithstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10787, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.42001}, {'place_id': 132293425, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 106248936, 'boundingbox': ['52.3800591', '52.3803371', '13.4096435', '13.4106899'], 'lat': '52.3803371', 'lon': '13.4106899', 'display_name': 'Keithstraße, Lichtenrade, Tempelhof-Schöneberg, Berlin, 12307, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.41001}]","{'place_id': 102995647, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4531816, 'boundingbox': ['52.501342', '52.5038357', '13.3457625', '13.3459548'], 'lat': '52.5027452', 'lon': '13.3458946', 'display_name': 'Keithstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10787, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.42001}",13.3458946,52.5027452
9,00:26:00,2023-05-20 20:10:14.182771,2023,5,20,000001_1312353,1312353.0,"Property Damage, Homicide","Salchendorfer Weg, Falkenhagener Feld, Spandau",2023.0,7.04,22 Uhr,Female,Unknown,1,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 113745706, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25378152, 'boundingbox': ['52.5457843', '52.5459276', '13.1768047', '13.1783665'], 'lat': '52.5458385', 'lon': '13.1777242', 'display_name': 'Salchendorfer Weg, Falkenhagener Feld, Spandau, Berlin, 13583, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.6100099999999999}]","{'place_id': 113745706, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25378152, 'boundingbox': ['52.5457843', '52.5459276', '13.1768047', '13.1783665'], 'lat': '52.5458385', 'lon': '13.1777242', 'display_name': 'Salchendorfer Weg, Falkenhagener Feld, Spandau, Berlin, 13583, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.6100099999999999}",13.1777242,52.5458385
10,16:10:00,2022-12-23 20:10:14.182771,2022,12,23,000002_1312248,1312248.0,"Property Damage, Arson","Bergfriedstraße, Friedrichshain-Kreuzberg",2023.0,6.04,4.45 Uhr,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 103117805, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4612753, 'boundingbox': ['52.4993572', '52.5010388', '13.4102788', '13.4116208'], 'lat': '52.5002026', 'lon': '13.4109534', 'display_name': 'Bergfriedstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.42001}]","{'place_id': 103117805, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4612753, 'boundingbox': ['52.4993572', '52.5010388', '13.4102788', '13.4116208'], 'lat': '52.5002026', 'lon': '13.4109534', 'display_name': 'Bergfriedstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.42001}",13.4109534,52.5002026
13,09:48:00,2023-04-18 20:10:14.182771,2023,4,18,000001_1308149,1308149.0,Property Damage,"Scharnweberstraße, Reinickendorf",2023.0,25.03,13.50 Uhr,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 45589357, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3858932763, 'boundingbox': ['52.5618172', '52.5718172', '13.3076219', '13.3176219'], 'lat': '52.5668172', 'lon': '13.3126219', 'display_name': 'Scharnweberstraße, Reinickendorf, Berlin, 13405, Deutschland', 'class': 'railway', 'type': 'station', 'importance': 0.5881802197739117, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}, {'place_id': 114898649, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 28427117, 'boundingbox': ['52.5623694', '52.5625018', '13.3305473', '13.3307779'], 'lat': '52.5624012', 'lon': '13.3307216', 'display_name': 'Scharnweberstraße, Reinickendorf, Berlin, 13405, Deutschland', 'class': 'highway', 'type': 'primary', 'importance': 0.32000999999999996}, {'place_id': 188707420, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 333607506, 'boundingbox': ['52.5666751', '52.5669065', '13.3164546', '13.3174223'], 'lat': '52.5668519', 'lon': '13.316681', 'display_name': 'Scharnweberstraße, Reinickendorf, Berlin, 13405, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.32000999999999996}]","{'place_id': 45589357, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3858932763, 'boundingbox': ['52.5618172', '52.5718172', '13.3076219', '13.3176219'], 'lat': '52.5668172', 'lon': '13.3126219', 'display_name': 'Scharnweberstraße, Reinickendorf, Berlin, 13405, Deutschland', 'class': 'railway', 'type': 'station', 'importance': 0.5881802197739117, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}",13.3126219,52.5668172
