,unique_case_id,type_of_crime,location,victim_sex,offender_sex,number_of_victims,number_of_offenders,Homicide,Hate Crime - Disability,Hate Crime - Gender,Hate Crime - Gender Identity,Hate Crime - Religious,Hate Crime - Sexual orientation,Hate Crime - Racial/Ethnicity,Hate Crime - Ethnicity,Verbal Abuse/Verbal Assault,Property Damage,Drug Offenses,General Assault,Sexual Assault,Sexual Harassment,Property Crimes,Domestic Violence,Missing Person,Traffic Incident,Unclassified,timestamp,date
0,000001_1167412,Property Damage,"Blankenburger Pflasterweg, Heinersdorfer Straße","Female, Male",Male,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02:15:00,2022-14-01
1,000002_1167410,Homicide,Kühnemannstraße,Male,Male,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06:00:00,2022-02-02
2,000003_1167332,"General Assault, Verbal Abuse, Property Damage, Drug Offenses",Rathausstraße,Male,Male,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01:15:00,2022-14-01
3,000004_1167270,"Property Crime, General Assault","Gropiusstadt, Neukölln",Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-20-06
4,000005_1167075,Property Crime,"Hauptstraße, Tempelhof-Schöneberg",Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02:40:00,2022-13-01
5,000001_1318967,"General Assault, Property Crime, Verbal Abuse","Erwin-Barth-Platz, Charlottenburg-Wilmersdorf",Male,Male,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13:40:00,2023-29-04
6,000002_1318965,"Property Damage, General Assault",Seydelstraße bis zur Alte-Jakob-Straße,Unknow,Male,Unknow,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,2023-29-04
7,000003_1317835,"Property Crime, Hehlerei","Wilhelmstadt, Sandstraße",Unknow,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:00:00,2023-27-04
8,000004_1317465,"Property Damage, Hate Crime - Gender Identity",Friedhof in Lichtenberg,Transgender,Unknow,1,Unknow,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17:45:00,2023-26-04
9,000005_1317344,Property Damage,"Wedding, Togostraße",Female,Unknow,1,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:00:00,2023-26-04
10,000006_1317325,Attempted Suicide,Tempelhof-Schöneberg,Male,Unknow,1,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18:10:00,2023-26-04
11,000007_1317063,"Property Damage, Homicide","Treptow-Köpenick, Am Bahndamm",Male,Unknow,1,Unknow,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:30:00,2023-25-04
12,000008_1317038,"Property Crime, General Assault","Keithstraße, Tempelhof-Schöneberg","Male, Female",Male,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17:00:00,2023-25-04
13,000009_1316949,"Property Damage, Verbal Abuse, General Assault",Berlinweit,Unknow,Unknow,Unknow,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07:20:00,2023-25-04
14,000010_1316885,Unclassified,Berlinweit,Unknow,Unknow,Unknow,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2023-25-04
15,000001_1312353,"Property Damage, Homicide","Salchendorfer Weg, Falkenhagener Feld, Spandau",Female,Unknown,1,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:00:00,2023-07-04
16,000002_1312248,"Property Damage, Arson","Bergfriedstraße, Friedrichshain-Kreuzberg",Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04:45:00,2023-06-04
17,000003_1312133,"General Assault, Property Damage", Rathaus Spandau,Male,Male,1,3-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20:10:00,2023-06-04
