,official_case_id,type_of_crime,location,datetime,year_date,time,victim_sex,offender_sex,number_of_victims,number_of_offenders,homicide,hate_crime-disability,hate_crime-gender,hate_crime-gender_identity,hate_crime-religious,hate_crime-sexual_orientation,hate_crime-racial/ethnicity,verbal_assault,property_damage,drug_offenses,general_assault,sexual_assault,sexual_harassment,property_crime,unclassified,time_slot,Output,Good_output,lon,lat
0,1125354,Property Damage,"Bugenhagenstraße, Moabit",2021-09-13 00:30:00,2021-09-13,0.3,Unknown,Male,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Midnight,"[{'place_id': 115746325, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 30136500, 'boundingbox': ['52.5282315', '52.5283389', '13.338103', '13.339235'], 'lat': '52.5282746', 'lon': '13.3387376', 'display_name': 'Bugenhagenstraße, Moabit, Mitte, Berlin, 10551, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}, {'place_id': 216890746, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 489521492, 'boundingbox': ['52.5281082', '52.5281207', '13.3414759', '13.3431968'], 'lat': '52.5281138', 'lon': '13.3424087', 'display_name': 'Bugenhagenstraße, Moabit, Mitte, Berlin, 10551, Deutschland', 'class': 'highway', 'type': 'living_street', 'importance': 0.32000999999999996}]","{'place_id': 115746325, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 30136500, 'boundingbox': ['52.5282315', '52.5283389', '13.338103', '13.339235'], 'lat': '52.5282746', 'lon': '13.3387376', 'display_name': 'Bugenhagenstraße, Moabit, Mitte, Berlin, 10551, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}",13.3387376,52.5282746
1,1125574,Property Damage," Mierendorffplatz, Charlottenburg-Wilmersdorf",2021-09-13 05:00:00,2021-09-13,5.0,Unknown,Unknown,0,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Early Morning,"[{'place_id': 57052407, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5219756618, 'boundingbox': ['52.5213437', '52.5313437', '13.2997721', '13.3097721'], 'lat': '52.5263437', 'lon': '13.3047721', 'display_name': 'Mierendorffplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland', 'class': 'railway', 'type': 'station', 'importance': 0.6993386721313873, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}, {'place_id': 113540911, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25219769, 'boundingbox': ['52.5257657', '52.5257692', '13.3057572', '13.3059955'], 'lat': '52.5257692', 'lon': '13.3058059', 'display_name': 'Mierendorffplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5441931629480781}, {'place_id': 359999372, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1168336685, 'boundingbox': ['52.5247685', '52.5254498', '13.303436', '13.303721'], 'lat': '52.5248192', 'lon': '13.3034572', 'display_name': 'Mierendorffplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.5441931629480781}, {'place_id': 350735273, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1138392692, 'boundingbox': ['52.5257417', '52.5266697', '13.3038384', '13.3042252'], 'lat': '52.5265974', 'lon': '13.3041951', 'display_name': 'Mierendorffplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.5441931629480781}, {'place_id': 205657702, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 428657610, 'boundingbox': ['52.5245836', '52.5268034', '13.3031578', '13.3063757'], 'lat': '52.52572105', 'lon': '13.304997174552675', 'display_name': 'Mierendorffplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.5441931629480781}]","{'place_id': 57052407, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5219756618, 'boundingbox': ['52.5213437', '52.5313437', '13.2997721', '13.3097721'], 'lat': '52.5263437', 'lon': '13.3047721', 'display_name': 'Mierendorffplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland', 'class': 'railway', 'type': 'station', 'importance': 0.6993386721313873, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}",13.3047721,52.5263437
3,1125352,Property Damage,Platz der Republik,2021-09-13 13:40:00,2021-09-13,13.4,Unknown,Male,Unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Afternoon,"[{'place_id': 218043540, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 499593498, 'boundingbox': ['52.5179123', '52.5192686', '13.3710326', '13.3753935'], 'lat': '52.518601000000004', 'lon': '13.37321236700398', 'display_name': 'Platz der Republik, Tiergarten, Mitte, Berlin, 10557, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.6443555407079014}, {'place_id': 113670085, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 24838973, 'boundingbox': ['53.5478055', '53.5501637', '9.9350187', '9.9358592'], 'lat': '53.548496', 'lon': '9.93544844460826', 'display_name': 'Platz der Republik, Altona, Altona-Altstadt, Altona, Hamburg, 22765, Deutschland', 'class': 'leisure', 'type': 'park', 'importance': 0.539862222899095}, {'place_id': 186048920, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 323064379, 'boundingbox': ['52.3370256', '52.3376326', '14.0867773', '14.0872538'], 'lat': '52.337333799999996', 'lon': '14.086988409358776', 'display_name': 'Platz der Republik, Reifenwerksiedlung, Fürstenwalde/Spree, Oder-Spree, Brandenburg, Deutschland', 'class': 'landuse', 'type': 'village_green', 'importance': 0.50001}, {'place_id': 113438819, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25065931, 'boundingbox': ['50.0731727', '50.0735315', '8.9658755', '8.9664875'], 'lat': '50.0733795', 'lon': '8.96625716486184', 'display_name': 'Platz der Republik, Klein-Krotzenburg, Hainburg, Landkreis Offenbach, Hessen, 63512, Deutschland', 'class': 'landuse', 'type': 'village_green', 'importance': 0.50001}, {'place_id': 113257407, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 24552294, 'boundingbox': ['51.2635507', '51.2655418', '7.1504679', '7.1516964'], 'lat': '51.26454005', 'lon': '7.150932048097726', 'display_name': 'Platz der Republik, Ostersbaum, Gemarkung Elberfeld, Wuppertal, Nordrhein-Westfalen, 42107, Deutschland', 'class': 'leisure', 'type': 'park', 'importance': 0.4905083629626834}, {'place_id': 209267586, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 450130138, 'boundingbox': ['48.8666808', '48.8684016', '2.3626022', '2.3653731'], 'lat': '48.86754205', 'lon': '2.3639583560075303', 'display_name': 'Place de la République, Quartier de la Folie-Méricourt, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France', 'class': 'place', 'type': 'square', 'importance': 0.45223313824041655}, {'place_id': 58828171, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5471247112, 'boundingbox': ['50.0837989', '50.0937989', '14.4256385', '14.4356385'], 'lat': '50.0887989', 'lon': '14.4306385', 'display_name': 'Náměstí Republiky, Na Poříčí, Nové Město, Praha 1, Hlavní město Praha, Praha, 116 47, Česko', 'class': 'railway', 'type': 'station', 'importance': 0.4441242743976256, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}, {'place_id': 97983661, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 9740281135, 'boundingbox': ['40.1779758', '40.1780758', '44.512827', '44.512927'], 'lat': '40.1780258', 'lon': '44.512877', 'display_name': 'Հանրապետության հրապարակ, Կենտրոն, Երևան, 0010, Հայաստան', 'class': 'place', 'type': 'square', 'importance': 0.4171584767702772}, {'place_id': 71133523, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6760759093, 'boundingbox': ['44.8161716', '44.8162716', '20.4602453', '20.4603453'], 'lat': '44.8162216', 'lon': '20.4602953', 'display_name': 'Трг републике, Косанчићев венац, Београд (Стари град), Градска општина Стари град, Београд, Град Београд, Централна Србија, 11000, Србија', 'class': 'place', 'type': 'square', 'importance': 0.4163742482679513}, {'place_id': 308622457, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 7350054, 'boundingbox': ['50.0872028', '50.0895871', '14.4276418', '14.4300834'], 'lat': '50.08836935', 'lon': '14.428841843891744', 'display_name': 'Náměstí Republiky, Nové Město, Praha 1, Hlavní město Praha, Praha, Česko', 'class': 'place', 'type': 'square', 'importance': 0.408405217166498}]","{'place_id': 218043540, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 499593498, 'boundingbox': ['52.5179123', '52.5192686', '13.3710326', '13.3753935'], 'lat': '52.518601000000004', 'lon': '13.37321236700398', 'display_name': 'Platz der Republik, Tiergarten, Mitte, Berlin, 10557, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.6443555407079014}",13.37321236700398,52.518601000000004
4,1125567,"General Assault, Resisting Arrest",Axel-Springer-Straße,2021-09-13 17:15:00,2021-09-13,17.15,Male,Male,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Evening,"[{'place_id': 124027403, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 66071390, 'boundingbox': ['52.5088944', '52.5092282', '13.3995935', '13.3997438'], 'lat': '52.5091204', 'lon': '13.3996662', 'display_name': 'Axel-Springer-Straße, Luisenstadt, Mitte, Berlin, 10117, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5257940944999784}, {'place_id': 188783896, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 335462871, 'boundingbox': ['52.5076845', '52.5078832', '13.3987018', '13.3988504'], 'lat': '52.507803', 'lon': '13.3987918', 'display_name': 'Axel-Springer-Straße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5257940944999784}, {'place_id': 352593682, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1147873584, 'boundingbox': ['52.5078832', '52.5081736', '13.3988504', '13.3990807'], 'lat': '52.5080898', 'lon': '13.3990246', 'display_name': 'Axel-Springer-Straße, Luisenstadt, Mitte, Berlin, 10969, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5257940944999784}, {'place_id': 291972734, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 998402968, 'boundingbox': ['52.5111699', '52.5113377', '13.4011252', '13.4011537'], 'lat': '52.5112437', 'lon': '13.401139', 'display_name': 'Axel-Springer-Straße, Friedrichswerder, Mitte, Berlin, 10117, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5257940944999784}]","{'place_id': 124027403, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 66071390, 'boundingbox': ['52.5088944', '52.5092282', '13.3995935', '13.3997438'], 'lat': '52.5091204', 'lon': '13.3996662', 'display_name': 'Axel-Springer-Straße, Luisenstadt, Mitte, Berlin, 10117, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5257940944999784}",13.3996662,52.5091204
5,1125876,"Property Damage, Arson","Müllerstraße, Marzahn-Hellersdorf",2021-09-14 01:20:00,2021-09-14,1.2,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Midnight,"[{'place_id': 244348412, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 680392623, 'boundingbox': ['52.4948781', '52.4954742', '13.6109678', '13.6151646'], 'lat': '52.4951678', 'lon': '13.6130757', 'display_name': 'Müllerstraße, Mahlsdorf, Marzahn-Hellersdorf, Berlin, 12623, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.41001}, {'place_id': 112399902, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 22617300, 'boundingbox': ['52.4921663', '52.494852', '13.6154671', '13.6229276'], 'lat': '52.4934965', 'lon': '13.6192239', 'display_name': 'Müllerstraße, Mahlsdorf Süd, Mahlsdorf, Marzahn-Hellersdorf, Berlin, 12623, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.41001}]","{'place_id': 244348412, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 680392623, 'boundingbox': ['52.4948781', '52.4954742', '13.6109678', '13.6151646'], 'lat': '52.4951678', 'lon': '13.6130757', 'display_name': 'Müllerstraße, Mahlsdorf, Marzahn-Hellersdorf, Berlin, 12623, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.41001}",13.6130757,52.4951678
6,1125900,"Property Crime, General Assault",Finckensteinallee,2021-09-14 11:00:00,2021-09-14,11.0,Female,Female,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Morning,"[{'place_id': 149877006, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 177146163, 'boundingbox': ['52.4322948', '52.4325974', '13.2950375', '13.3034081'], 'lat': '52.4324375', 'lon': '13.2992198', 'display_name': 'Finckensteinallee, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12205, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.21000999999999995}, {'place_id': 288983144, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 975216335, 'boundingbox': ['52.4314705', '52.4324496', '13.3051663', '13.3088878'], 'lat': '52.4319293', 'lon': '13.3067549', 'display_name': 'Finckensteinallee, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12205, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.21000999999999995}]","{'place_id': 149877006, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 177146163, 'boundingbox': ['52.4322948', '52.4325974', '13.2950375', '13.3034081'], 'lat': '52.4324375', 'lon': '13.2992198', 'display_name': 'Finckensteinallee, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12205, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.21000999999999995}",13.2992198,52.4324375
7,1126324,"Property Crime, General Assault",Alexanderplatz,2021-09-14 11:30:00,2021-09-14,11.3,"Female, Male",Male,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Morning,"[{'place_id': 261767431, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 783052052, 'boundingbox': ['52.5201457', '52.5238113', '13.4103097', '13.4160801'], 'lat': '52.5219814', 'lon': '13.413635717448294', 'display_name': 'Alexanderplatz, Mitte, Berlin, 10178, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.5814982526373583}, {'place_id': 45802928, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3908141014, 'boundingbox': ['52.5165661', '52.5265661', '13.4062804', '13.4162804'], 'lat': '52.5215661', 'lon': '13.4112804', 'display_name': 'Alexanderplatz, Dircksenstraße, Mitte, Berlin, 10179, Deutschland', 'class': 'railway', 'type': 'station', 'importance': 0.5460990777880803, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}, {'place_id': 154735187, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 196497655, 'boundingbox': ['51.3249115', '51.3256645', '6.5617637', '6.5624328'], 'lat': '51.32545255', 'lon': '6.562017309604187', 'display_name': 'Alexanderplatz, Innenstadt, Krefeld-Mitte, Krefeld, Nordrhein-Westfalen, 47798, Deutschland', 'class': 'leisure', 'type': 'park', 'importance': 0.26000999999999996}, {'place_id': 145030793, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 158018097, 'boundingbox': ['53.3309575', '53.3317249', '13.0977153', '13.0985875'], 'lat': '53.3313714', 'lon': '13.098114095645595', 'display_name': 'Alexanderplatz, Strelitz-Alt, Neustrelitz, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17235, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.23500999999999997}, {'place_id': 6119318, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 811751308, 'boundingbox': ['50.4327527', '50.4328527', '7.6715163', '7.6716163'], 'lat': '50.4328027', 'lon': '7.6715663', 'display_name': 'Alexanderplatz, Höhr-Grenzhausen, Westerwaldkreis, Rheinland-Pfalz, 56203, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.23500999999999997}, {'place_id': 307692982, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1123165587, 'boundingbox': ['49.2049816', '49.2055937', '12.0832377', '12.0841631'], 'lat': '49.20537695', 'lon': '12.083822208246215', 'display_name': 'Alexanderplatz, Maxhütte, Maxhütte-Haidhof, Landkreis Schwandorf, Bayern, 93142, Deutschland', 'class': 'place', 'type': 'locality', 'importance': 0.23500999999999997, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_village.p.20.png'}, {'place_id': 197225536, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 378618337, 'boundingbox': ['49.2477068', '49.2477836', '8.0728366', '8.0730442'], 'lat': '49.247747149999995', 'lon': '8.07293156640625', 'display_name': 'Alexanderplatz, Burrweiler, Edenkoben, Landkreis Südliche Weinstraße, Rheinland-Pfalz, 76835, Deutschland', 'class': 'place', 'type': 'locality', 'importance': 0.23500999999999997, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_village.p.20.png'}, {'place_id': 196341131, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 380379371, 'boundingbox': ['46.8520003', '46.8523745', '9.531002', '9.5315557'], 'lat': '46.852186950000004', 'lon': '9.53130124212712', 'display_name': 'Alexanderplatz, Chur, Plessur, Graubünden/Grischun/Grigioni, Schweiz/Suisse/Svizzera/Svizra', 'class': 'highway', 'type': 'pedestrian', 'importance': 0.22043043518689398}, {'place_id': 119869557, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 42899226, 'boundingbox': ['51.3249047', '51.325681', '6.5617558', '6.5624472'], 'lat': '51.3249493', 'lon': '6.5617558', 'display_name': 'Alexanderplatz, Innenstadt, Krefeld-Mitte, Krefeld, Nordrhein-Westfalen, 47798, Deutschland', 'class': 'highway', 'type': 'living_street', 'importance': 0.21000999999999995}, {'place_id': 294699525, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1019408303, 'boundingbox': ['49.2471727', '49.247887', '7.3638006', '7.3648653'], 'lat': '49.2475242', 'lon': '7.364317820239827', 'display_name': 'Alexanderplatz, Stadtmitte, Zweibrücken, Rheinland-Pfalz, 66482, Deutschland', 'class': 'highway', 'type': 'pedestrian', 'importance': 0.21000999999999995}]","{'place_id': 261767431, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 783052052, 'boundingbox': ['52.5201457', '52.5238113', '13.4103097', '13.4160801'], 'lat': '52.5219814', 'lon': '13.413635717448294', 'display_name': 'Alexanderplatz, Mitte, Berlin, 10178, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.5814982526373583}",13.413635717448294,52.5219814
8,1125904,"General Assault, Verbal Abuse, Drug Offenses",Stuttgarter Platz,2021-09-14 14:45:00,2021-09-14,14.45,Male,Male,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Afternoon,"[{'place_id': 299207626, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1056613175, 'boundingbox': ['52.5056511', '52.505672', '13.3050939', '13.3055162'], 'lat': '52.5056511', 'lon': '13.3050939', 'display_name': 'Stuttgarter Platz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10627, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.4173380601845065}, {'place_id': 122361655, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 54032598, 'boundingbox': ['48.814404', '48.8147433', '9.2741974', '9.2748049'], 'lat': '48.814583150000004', 'lon': '9.274422878872091', 'display_name': 'Stuttgarter Platz, Fellbach, Rems-Murr-Kreis, Baden-Württemberg, 70736, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.32500999999999997}, {'place_id': 12681045, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 1318190064, 'boundingbox': ['52.5053349', '52.5054349', '13.3025534', '13.3026534'], 'lat': '52.5053849', 'lon': '13.3026034', 'display_name': 'Stuttgarter Platz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10627, Deutschland', 'class': 'amenity', 'type': 'taxi', 'importance': 0.20000999999999997}]","{'place_id': 299207626, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1056613175, 'boundingbox': ['52.5056511', '52.505672', '13.3050939', '13.3055162'], 'lat': '52.5056511', 'lon': '13.3050939', 'display_name': 'Stuttgarter Platz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10627, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.4173380601845065}",13.3050939,52.5056511
9,1126443,"Property Damage, Arson","Wilhelmsruher Damm, Reinickendorf",2021-09-15 15:00:00,2021-09-15,15.0,Unknown,Unknown,0,Unknown,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Afternoon,"[{'place_id': 176761266, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 281631707, 'boundingbox': ['52.5969394', '52.5970909', '13.361167', '13.3638441'], 'lat': '52.5970149', 'lon': '13.362495', 'display_name': 'Wilhelmsruher Damm, Märkisches Viertel, Reinickendorf, Berlin, 13439, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.7076552579306947}, {'place_id': 116803747, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 33228707, 'boundingbox': ['52.5961599', '52.5961929', '13.3469722', '13.347673'], 'lat': '52.5961616', 'lon': '13.3473427', 'display_name': 'Wilhelmsruher Damm, Märkisches Viertel, Reinickendorf, Berlin, 13435, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.7076552579306947}, {'place_id': 215692899, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 485186232, 'boundingbox': ['52.5955579', '52.5956297', '13.333064', '13.3338341'], 'lat': '52.5955986', 'lon': '13.3333491', 'display_name': 'Wilhelmsruher Damm, Wittenau, Reinickendorf, Berlin, 13435, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.7076552579306947}, {'place_id': 119139582, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 40817790, 'boundingbox': ['52.5955123', '52.5955579', '13.3328926', '13.333064'], 'lat': '52.5955579', 'lon': '13.333064', 'display_name': 'Wilhelmsruher Damm, Wittenau, Reinickendorf, Berlin, 13437, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.7076552579306947}]","{'place_id': 176761266, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 281631707, 'boundingbox': ['52.5969394', '52.5970909', '13.361167', '13.3638441'], 'lat': '52.5970149', 'lon': '13.362495', 'display_name': 'Wilhelmsruher Damm, Märkisches Viertel, Reinickendorf, Berlin, 13439, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.7076552579306947}",13.362495,52.5970149
10,1126475,Verbal Abuse,"Jahnstraße, Neukölln",2021-09-15 15:00:00,2021-09-15,15.0,Female,Female,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Afternoon,"[{'place_id': 119822638, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 42990135, 'boundingbox': ['52.4613511', '52.4613911', '13.4454666', '13.4458005'], 'lat': '52.4613658', 'lon': '13.4455961', 'display_name': 'Jahnstraße, Britz, Neukölln, Berlin, 12347, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}, {'place_id': 281128778, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 916914966, 'boundingbox': ['52.4141892', '52.4154066', '13.442567', '13.4432162'], 'lat': '52.4151087', 'lon': '13.4427424', 'display_name': 'Jahnstraße, Gartenstadt Großziethen, Schönefeld, Neukölln, Berlin, Großziethen, Dahme-Spreewald, Brandenburg, 12529, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}]","{'place_id': 119822638, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 42990135, 'boundingbox': ['52.4613511', '52.4613911', '13.4454666', '13.4458005'], 'lat': '52.4613658', 'lon': '13.4455961', 'display_name': 'Jahnstraße, Britz, Neukölln, Berlin, 12347, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}",13.4455961,52.4613658
